measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
between_network_proportion,161.0,1616.0,0.05,14
between_network_proportion_group1_to_group2,101.0,799.0,0.05,14
between_network_proportion_group2_to_group1,60.0,817.0,0.05,14
median_segment_length_MSMW_MSM_to_MSMW_MSM,172.0,,0.05,14
median_segment_length_MSMW_MSW_WSM_to_MSM,,23.0,0.05,14
median_segment_length_MSMW_MSW_WSM_to_MSMW_MSW_WSM,,2376.0,0.05,14
median_segment_length_MSM_to_MSM,,133.0,0.05,14
median_segment_length_MSM_to_MSMW_MSW_WSM,,11.0,0.05,14
median_segment_length_WSM_MSW_to_MSMW_MSM,3.0,,0.05,14
median_segment_length_WSM_MSW_to_WSM_MSW,2368.0,,0.05,14
normalized_MSMW_MSW_WSM_to_MSM_rate,,1.0,0.05,14
normalized_MSM_to_MSMW_MSW_WSM_rate,,1.0,0.05,14
normalized_WSM_MSW_to_MSMW_MSM_rate,1.0,,0.05,14
triplet_proportion,81.0,716.0,0.05,14
triplet_proportion_group1_to_group2,47.0,558.0,0.05,14
triplet_proportion_group2_to_group1,34.0,158.0,0.05,14
between_network_proportion,269.0,1990.0,0.05,16
between_network_proportion_group1_to_group2,163.0,941.0,0.05,16
between_network_proportion_group2_to_group1,106.0,1049.0,0.05,16
median_segment_length_MSMW_MSM_to_MSMW_MSM,214.0,,0.05,16
median_segment_length_MSMW_MSM_to_WSM_MSW,4.0,,0.05,16
median_segment_length_MSMW_MSW_WSM_to_MSM,,17.0,0.05,16
median_segment_length_MSMW_MSW_WSM_to_MSMW_MSW_WSM,,2500.0,0.05,16
median_segment_length_MSM_to_MSM,,160.0,0.05,16
median_segment_length_MSM_to_MSMW_MSW_WSM,,29.0,0.05,16
median_segment_length_WSM_MSW_to_MSMW_MSM,15.0,,0.05,16
median_segment_length_WSM_MSW_to_WSM_MSW,2473.0,,0.05,16
normalized_MSMW_MSM_to_WSM_MSW_rate,1.0,,0.05,16
normalized_MSMW_MSW_WSM_to_MSM_rate,,1.0,0.05,16
normalized_MSM_to_MSMW_MSW_WSM_rate,,1.0,0.05,16
normalized_WSM_MSW_to_MSMW_MSM_rate,1.0,,0.05,16
triplet_proportion,172.0,890.0,0.05,16
triplet_proportion_group1_to_group2,103.0,625.0,0.05,16
triplet_proportion_group2_to_group1,69.0,265.0,0.05,16
between_network_proportion,291.0,2251.0,0.05,18
between_network_proportion_group1_to_group2,196.0,1082.0,0.05,18
between_network_proportion_group2_to_group1,95.0,1169.0,0.05,18
median_segment_length_MSMW_MSM_to_MSMW_MSM,188.0,,0.05,18
median_segment_length_MSMW_MSM_to_WSM_MSW,2.0,,0.05,18
median_segment_length_MSMW_MSW_WSM_to_MSM,,14.0,0.05,18
median_segment_length_MSMW_MSW_WSM_to_MSMW_MSW_WSM,,2355.0,0.05,18
median_segment_length_MSM_to_MSM,,162.0,0.05,18
median_segment_length_MSM_to_MSMW_MSW_WSM,,12.0,0.05,18
median_segment_length_WSM_MSW_to_MSMW_MSM,8.0,,0.05,18
median_segment_length_WSM_MSW_to_WSM_MSW,2345.0,,0.05,18
normalized_MSMW_MSM_to_WSM_MSW_rate,1.0,,0.05,18
normalized_MSMW_MSW_WSM_to_MSM_rate,,1.0,0.05,18
normalized_MSM_to_MSMW_MSW_WSM_rate,,1.0,0.05,18
normalized_WSM_MSW_to_MSMW_MSM_rate,1.0,,0.05,18
triplet_proportion,177.0,975.0,0.05,18
triplet_proportion_group1_to_group2,135.0,748.0,0.05,18
triplet_proportion_group2_to_group1,42.0,227.0,0.05,18
