measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
between_network_proportion,0.0035317086011362,0.0354487024809704,0.05,14
between_network_proportion_group1_to_group2,0.0022155439050606,0.0175269265360738,0.05,14
between_network_proportion_group2_to_group1,0.0013161646960756,0.0179217759448965,0.05,14
median_segment_length_MSMW_MSM_to_MSMW_MSM,11.0,,0.05,14
median_segment_length_MSMW_MSW_WSM_to_MSM,,11.0,0.05,14
median_segment_length_MSMW_MSW_WSM_to_MSMW_MSW_WSM,,23.0,0.05,14
median_segment_length_MSM_to_MSM,,11.0,0.05,14
median_segment_length_MSM_to_MSMW_MSW_WSM,,7.0,0.05,14
median_segment_length_WSM_MSW_to_MSMW_MSM,3.0,,0.05,14
median_segment_length_WSM_MSW_to_WSM_MSW,23.0,,0.05,14
normalized_MSMW_MSW_WSM_to_MSM_rate,,0.4782608695652174,0.05,14
normalized_MSM_to_MSMW_MSW_WSM_rate,,0.6363636363636364,0.05,14
normalized_WSM_MSW_to_MSMW_MSM_rate,0.1304347826086956,,0.05,14
triplet_proportion,0.0017768223397021,0.0157062320398359,0.05,14
triplet_proportion_group1_to_group2,0.0010309956785925,0.0122403316735034,0.05,14
triplet_proportion_group2_to_group1,0.0007458266611095,0.0034659003663325,0.05,14
between_network_proportion,0.0061522276095508,0.0455127618699112,0.05,16
between_network_proportion_group1_to_group2,0.0037279297411032,0.0215213612661238,0.05,16
between_network_proportion_group2_to_group1,0.0024242978684475,0.0239914006037873,0.05,16
median_segment_length_MSMW_MSM_to_MSMW_MSM,16.0,,0.05,16
median_segment_length_MSMW_MSM_to_WSM_MSW,8.5,,0.05,16
median_segment_length_MSMW_MSW_WSM_to_MSM,,15.0,0.05,16
median_segment_length_MSMW_MSW_WSM_to_MSMW_MSW_WSM,,23.0,0.05,16
median_segment_length_MSM_to_MSM,,16.5,0.05,16
median_segment_length_MSM_to_MSMW_MSW_WSM,,18.0,0.05,16
median_segment_length_WSM_MSW_to_MSMW_MSM,16.0,,0.05,16
median_segment_length_WSM_MSW_to_WSM_MSW,23.0,,0.05,16
normalized_MSMW_MSM_to_WSM_MSW_rate,0.53125,,0.05,16
normalized_MSMW_MSW_WSM_to_MSM_rate,,0.6521739130434783,0.05,16
normalized_MSM_to_MSMW_MSW_WSM_rate,,1.0909090909090908,0.05,16
normalized_WSM_MSW_to_MSMW_MSM_rate,0.6956521739130435,,0.05,16
triplet_proportion,0.0039337663525752,0.020354953801116,0.05,16
triplet_proportion_group1_to_group2,0.0023556856646235,0.0142942091299972,0.05,16
triplet_proportion_group2_to_group1,0.0015780806879516,0.0060607446711188,0.05,16
between_network_proportion,0.0068559312050889,0.0530333372599835,0.05,18
