measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,221,1357,0.05,2
MSM_group_to_WSM_group_triplet_proportion,91,820,0.05,2
WSM_group_to_MSM_group_proportion,115,1561,0.05,2
WSM_group_to_MSM_group_triplet_proportion,71,352,0.05,2
average_time_in_MSM_network,14170,113156,0.05,2
average_time_in_WSM_network,13062,110779,0.05,2
average_time_in_network_overall,27232,223935,0.05,2
total_between_network_proportion,336,2918,0.05,2
total_triplet_proportion,162,1172,0.05,2
MSM_group_to_WSM_group_proportion,96,886,0.05,3
MSM_group_to_WSM_group_triplet_proportion,73,577,0.05,3
WSM_group_to_MSM_group_proportion,50,950,0.05,3
WSM_group_to_MSM_group_triplet_proportion,46,130,0.05,3
average_time_in_MSM_network,4232,69779,0.05,3
average_time_in_WSM_network,4109,69333,0.05,3
average_time_in_network_overall,8341,139112,0.05,3
total_between_network_proportion,146,1836,0.05,3
total_triplet_proportion,119,707,0.05,3
MSM_group_to_WSM_group_proportion,224,1184,0.05,8
MSM_group_to_WSM_group_triplet_proportion,145,985,0.05,8
WSM_group_to_MSM_group_proportion,123,1384,0.05,8
WSM_group_to_MSM_group_triplet_proportion,67,346,0.05,8
average_time_in_MSM_network,7958,82476,0.05,8
average_time_in_WSM_network,8673,82356,0.05,8
average_time_in_network_overall,16631,164832,0.05,8
total_between_network_proportion,347,2568,0.05,8
total_triplet_proportion,212,1331,0.05,8
MSM_group_to_WSM_group_proportion,106,822,0.05,10
MSM_group_to_WSM_group_triplet_proportion,69,606,0.05,10
WSM_group_to_MSM_group_proportion,73,892,0.05,10
WSM_group_to_MSM_group_triplet_proportion,54,265,0.05,10
average_time_in_MSM_network,14276,117211,0.05,10
average_time_in_WSM_network,2317,105529,0.05,10
average_time_in_network_overall,16593,222740,0.05,10
total_between_network_proportion,179,1714,0.05,10
total_triplet_proportion,123,871,0.05,10
MSM_group_to_WSM_group_proportion,179,921,0.05,17
MSM_group_to_WSM_group_triplet_proportion,109,640,0.05,17
WSM_group_to_MSM_group_proportion,132,1002,0.05,17
WSM_group_to_MSM_group_triplet_proportion,47,292,0.05,17
average_time_in_MSM_network,2405,55605,0.05,17
average_time_in_WSM_network,6929,59048,0.05,17
average_time_in_network_overall,9334,114653,0.05,17
total_between_network_proportion,311,1923,0.05,17
total_triplet_proportion,156,932,0.05,17
MSM_group_to_WSM_group_proportion,48,853,0.05,18
MSM_group_to_WSM_group_triplet_proportion,35,541,0.05,18
WSM_group_to_MSM_group_proportion,49,832,0.05,18
WSM_group_to_MSM_group_triplet_proportion,46,54,0.05,18
average_time_in_MSM_network,6942,53132,0.05,18
average_time_in_WSM_network,8910,54190,0.05,18
average_time_in_network_overall,15852,107322,0.05,18
total_between_network_proportion,97,1685,0.05,18
total_triplet_proportion,81,595,0.05,18
MSM_group_to_WSM_group_proportion,161,1346,0.05,19
MSM_group_to_WSM_group_triplet_proportion,104,960,0.05,19
WSM_group_to_MSM_group_proportion,82,1432,0.05,19
WSM_group_to_MSM_group_triplet_proportion,59,95,0.05,19
average_time_in_MSM_network,8256,105477,0.05,19
average_time_in_WSM_network,7390,107996,0.05,19
