group,mean,se,p_msmw_w,replicate
WSM_prevalence,0.0396586059743954,0.0004203686044331,0.05,2
WSM_hi_prevalence,0.4779311685786505,0.007153841983331,0.05,2
MSW_prevalence,0.0316870554765291,0.0003544269581445,0.05,2
MSW_hi_prevalence,0.3730099962976675,0.006585025006033,0.05,2
MSM_prevalence,0.1076576576576576,0.0031396823650014,0.05,2
MSM_hi_prevalence,0.5441928414901387,0.0157496582700718,0.05,2
MSMW_prevalence,0.1267567567567567,0.0034069363544732,0.05,2
MSMW_hi_prevalence,0.5193571950328708,0.014326457933631,0.05,2
WSM_prevalence,0.0480512091038406,0.0004038203926202,0.05,3
WSM_hi_prevalence,0.5126302773361597,0.0051253072352313,0.05,3
MSW_prevalence,0.0354139402560455,0.0002774989320711,0.05,3
MSW_hi_prevalence,0.4169169169169168,0.0051667532640804,0.05,3
MSM_prevalence,0.1084684684684684,0.002930044664901,0.05,3
MSM_hi_prevalence,0.4883292383292383,0.0123488309600888,0.05,3
MSMW_prevalence,0.1154054054054053,0.0039724009312187,0.05,3
MSMW_hi_prevalence,0.4864864864864865,0.0197385958988292,0.05,3
WSM_prevalence,0.0465376955903271,0.0004607453254895,0.05,8
WSM_hi_prevalence,0.4793741109530582,0.0061953871100109,0.05,8
MSW_prevalence,0.0350213371266002,0.0003823892491315,0.05,8
MSW_hi_prevalence,0.4015444015444016,0.0052576855192185,0.05,8
MSM_prevalence,0.0999099099099099,0.0023338569642913,0.05,8
MSM_hi_prevalence,0.5127830533235939,0.0125448843509261,0.05,8
MSMW_prevalence,0.1291891891891892,0.0034414532333178,0.05,8
MSMW_hi_prevalence,0.5292792792792792,0.0156701423468,0.05,8
WSM_prevalence,0.0411778093883357,0.0004712781178434,0.05,10
WSM_hi_prevalence,0.4679847632867767,0.0069424754069326,0.05,10
MSW_prevalence,0.0309758179231863,0.0004157371258788,0.05,10
MSW_hi_prevalence,0.382853051727224,0.0060500643204735,0.05,10
MSM_prevalence,0.1297297297297297,0.003138389575685,0.05,10
MSM_hi_prevalence,0.5304716481187071,0.0158274345766487,0.05,10
MSMW_prevalence,0.0993243243243243,0.0031009186990082,0.05,10
MSMW_hi_prevalence,0.4694694694694695,0.0163036538919686,0.05,10
WSM_prevalence,0.0457354196301564,0.0006631087412776,0.05,17
WSM_hi_prevalence,0.4972972972972972,0.0084829885728508,0.05,17
MSW_prevalence,0.0323982930298719,0.0005062252959204,0.05,17
MSW_hi_prevalence,0.4207207207207207,0.0060736431730589,0.05,17
MSM_prevalence,0.1113513513513513,0.003212160586473,0.05,17
MSM_hi_prevalence,0.4738738738738737,0.0158790439236063,0.05,17
MSMW_prevalence,0.0981081081081081,0.0035479943545072,0.05,17
