measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,0.0048686620453017,0.0246678876961954,0.05,1
MSM_group_to_WSM_group_triplet_proportion,0.003292142906823,0.0178749449377506,0.05,1
WSM_group_to_MSM_group_proportion,0.0019938330280759,0.0319013284492152,0.05,1
WSM_group_to_MSM_group_triplet_proportion,0.0013214939837247,0.0070015997032434,0.05,1
average_time_in_MSM_network,313.1418551215383,107.76355045340958,0.05,1
average_time_in_WSM_network,555.7173913043479,71.94364543270525,0.05,1
average_time_in_network_overall,429.9662090151088,89.73863993668073,0.05,1
total_between_network_proportion,0.0068624950733776,0.0565692161454107,0.05,1
total_triplet_proportion,0.0046136368905478,0.0248765446409941,0.05,1
MSM_group_to_WSM_group_proportion,0.0025987006496751,0.0166516741629185,0.05,6
MSM_group_to_WSM_group_triplet_proportion,0.0008595702148925,0.0131734132933533,0.05,6
WSM_group_to_MSM_group_proportion,0.0018590704647676,0.0179310344827586,0.05,6
WSM_group_to_MSM_group_triplet_proportion,0.0007996001999,0.0004597701149425,0.05,6
average_time_in_MSM_network,873.0640904806786,293.73200616627685,0.05,6
average_time_in_WSM_network,1151.2758620689656,91.84397872676531,0.05,6
average_time_in_network_overall,1036.3740755157648,192.3100150781684,0.05,6
total_between_network_proportion,0.0044577711144427,0.0345827086456771,0.05,6
total_triplet_proportion,0.0016591704147926,0.0136331834082958,0.05,6
MSM_group_to_WSM_group_proportion,0.0056493861912581,0.0224216123230901,0.05,14
MSM_group_to_WSM_group_triplet_proportion,0.0032645242004847,0.0157752756274923,0.05,14
WSM_group_to_MSM_group_proportion,0.0030690437094377,0.0262530299476112,0.05,14
WSM_group_to_MSM_group_triplet_proportion,0.0009187583079208,0.0042810227539291,0.05,14
average_time_in_MSM_network,1165.981939163498,110.17980065761112,0.05,14
average_time_in_WSM_network,313.53034600113443,27.80761310081715,0.05,14
average_time_in_network_overall,979.8677399380804,69.5182739082411,0.05,14
total_between_network_proportion,0.0087184299006959,0.0486746422707013,0.05,14
total_triplet_proportion,0.0041832825084056,0.0200562983814215,0.05,14
MSM_group_to_WSM_group_proportion,0.0029633006610439,0.0262644682521591,0.05,16
MSM_group_to_WSM_group_triplet_proportion,0.0016716055011017,0.0178304586784185,0.05,16
WSM_group_to_MSM_group_proportion,0.001443659296406,0.0266190512372413,0.05,16
WSM_group_to_MSM_group_triplet_proportion,0.0008358027505508,0.0025074082516526,0.05,16
average_time_in_MSM_network,1226.5395193776912,131.4088539960886,0.05,16
average_time_in_WSM_network,539.7704941044357,67.49976080818692,0.05,16
average_time_in_network_overall,884.9530824547929,99.49292660533268,0.05,16
total_between_network_proportion,0.00440695995745,0.0528835194894005,0.05,16
total_triplet_proportion,0.0025074082516526,0.0203378669300711,0.05,16
MSM_group_to_WSM_group_proportion,0.004452852825139,0.0219412592575502,0.05,18
MSM_group_to_WSM_group_triplet_proportion,0.0029301155895992,0.0155042336709503,0.05,18
WSM_group_to_MSM_group_proportion,0.0033915511155203,0.0212952495212606,0.05,18
WSM_group_to_MSM_group_triplet_proportion,0.0017534549985003,0.0038529866414415,0.05,18
average_time_in_MSM_network,913.379209211384,121.0054636979301,0.05,18
average_time_in_WSM_network,495.75468398700974,40.3967821657336,0.05,18
average_time_in_network_overall,786.8177000529942,81.79976058010264,0.05,18
total_between_network_proportion,0.0078444039406593,0.0432365087788108,0.05,18
total_triplet_proportion,0.0046835705880995,0.0193572203123918,0.05,18
MSM_group_to_WSM_group_proportion,0.0039487357118115,0.0268098372012469,0.05,20
MSM_group_to_WSM_group_triplet_proportion,0.003001962821845,0.0201131509063618,0.05,20
WSM_group_to_MSM_group_proportion,0.0026093984528345,0.033598891582958,0.05,20
WSM_group_to_MSM_group_triplet_proportion,0.001801177693107,0.0060962937305161,0.05,20
average_time_in_MSM_network,723.3196961620469,110.66067433833418,0.05,20
average_time_in_WSM_network,298.548627268497,32.61268775754353,0.05,20
average_time_in_network_overall,628.754998446079,73.00237627191477,0.05,20
total_between_network_proportion,0.0065581341646461,0.060408728784205,0.05,20
total_triplet_proportion,0.004803140514952,0.0262094446368779,0.05,20
MSM_group_to_WSM_group_proportion,0.002627925426418,0.0255850852836176,0.05,24
MSM_group_to_WSM_group_triplet_proportion,0.001760214200714,0.0179244347481158,0.05,24
WSM_group_to_MSM_group_proportion,0.0015618802062673,0.0285848869496231,0.05,24
WSM_group_to_MSM_group_triplet_proportion,0.0012891709639032,0.0134619198730662,0.05,24
average_time_in_MSM_network,937.036519502786,108.94597603516382,0.05,24
average_time_in_WSM_network,129.42725498699045,32.31442509883085,0.05,24
average_time_in_network_overall,580.4187850064627,71.00849049139916,0.05,24
total_between_network_proportion,0.0041898056326854,0.0541699722332407,0.05,24
total_triplet_proportion,0.0030493851646172,0.031386354621182,0.05,24
MSM_group_to_WSM_group_proportion,0.0032256609221329,0.0254669313362807,0.05,26
MSM_group_to_WSM_group_triplet_proportion,0.001533880718217,0.0171433727330145,0.05,26
WSM_group_to_MSM_group_proportion,0.0016015519263737,0.0319182531805467,0.05,26
WSM_group_to_MSM_group_triplet_proportion,0.0009248398448073,0.0064287647748804,0.05,26
average_time_in_MSM_network,271.1524098601913,102.62344135423112,0.05,26
average_time_in_WSM_network,211.3748798076923,35.913813305559174,0.05,26
average_time_in_network_overall,245.2380158399333,69.66284425308552,0.05,26
total_between_network_proportion,0.0048272128485067,0.0573851845168275,0.05,26
total_triplet_proportion,0.0024587205630244,0.0235721375078949,0.05,26
MSM_group_to_WSM_group_proportion,0.0024227877909609,0.0193143736980345,0.05,32
MSM_group_to_WSM_group_triplet_proportion,0.0017208586178788,0.0136083688071732,0.05,32
WSM_group_to_MSM_group_proportion,0.001222715333756,0.0229145910696494,0.05,32
WSM_group_to_MSM_group_triplet_proportion,0.0011321438275518,0.0051172901005343,0.05,32
average_time_in_MSM_network,291.6753398058252,55.45475392229431,0.05,32
average_time_in_WSM_network,981.9147161354582,136.37970797136308,0.05,32
average_time_in_network_overall,712.2490517372174,96.4323644674342,0.05,32
total_between_network_proportion,0.0036455031247169,0.042228964767684,0.05,32
total_triplet_proportion,0.0028530024454306,0.0187256589077076,0.05,32
MSM_group_to_WSM_group_proportion,0.0017555096908879,0.0170569117263302,0.05,34
MSM_group_to_WSM_group_triplet_proportion,0.001138708988684,0.0126444143951794,0.05,34
WSM_group_to_MSM_group_proportion,0.0009726472611676,0.0204967617963134,0.05,34
WSM_group_to_MSM_group_triplet_proportion,0.0006642469100657,0.0061205608141769,0.05,34
average_time_in_MSM_network,752.8762459745437,129.95841902888313,0.05,34
average_time_in_WSM_network,192.27041291524367,30.467309163635388,0.05,34
average_time_in_network_overall,567.5229932252105,81.44362555798457,0.05,34
total_between_network_proportion,0.0027281569520556,0.0375536735226437,0.05,34
total_triplet_proportion,0.0018029558987497,0.0187649752093563,0.05,34
MSM_group_to_WSM_group_proportion,0.0056667383975324,0.0281424096788848,0.05,39
MSM_group_to_WSM_group_triplet_proportion,0.002869234631662,0.0192716926093297,0.05,39
WSM_group_to_MSM_group_proportion,0.0024627597255098,0.0343351744255553,0.05,39
WSM_group_to_MSM_group_triplet_proportion,0.001434617315831,0.0139396982521579,0.05,39
average_time_in_MSM_network,856.9433006018372,132.592309980783,0.05,39
average_time_in_WSM_network,85.53486503856041,29.73949594060328,0.05,39
average_time_in_network_overall,602.2623063865902,82.490956328096,0.05,39
total_between_network_proportion,0.0081294981230423,0.0624775841044401,0.05,39
total_triplet_proportion,0.004303851947493,0.0332113908614877,0.05,39
MSM_group_to_WSM_group_proportion,0.0011954707448008,0.0154960075788334,0.05,42
MSM_group_to_WSM_group_triplet_proportion,0.0008571299679704,0.0108269048585735,0.05,42
WSM_group_to_MSM_group_proportion,0.0014210312626877,0.0168944827897324,0.05,42
WSM_group_to_MSM_group_triplet_proportion,0.0013759191591103,0.002142824919926,0.05,42
average_time_in_MSM_network,499.7958026091889,201.46768961833544,0.05,42
average_time_in_WSM_network,1038.940871070089,181.0746956314156,0.05,42
average_time_in_network_overall,663.7549230296917,192.31896117804556,0.05,42
total_between_network_proportion,0.0026165020074886,0.0323904903685658,0.05,42
total_triplet_proportion,0.0022330491270807,0.0129697297784995,0.05,42
MSM_group_to_WSM_group_proportion,0.0018251660688894,0.0161293745622784,0.05,44
MSM_group_to_WSM_group_triplet_proportion,0.0011248116471062,0.0132855111526135,0.05,44
WSM_group_to_MSM_group_proportion,0.001230925953437,0.0166811689551985,0.05,44
WSM_group_to_MSM_group_triplet_proportion,0.0010611430633077,0.0014007088435662,0.05,44
average_time_in_MSM_network,1270.6587074180195,133.20106450775367,0.05,44
average_time_in_WSM_network,740.3210431654676,23.40288790281516,0.05,44
average_time_in_network_overall,1131.995297437103,79.04133575734379,0.05,44
total_between_network_proportion,0.0030560920223264,0.032810543517477,0.05,44
total_triplet_proportion,0.002185954710414,0.0146862199961798,0.05,44
MSM_group_to_WSM_group_proportion,0.0034070806124009,0.0211413720051543,0.05,45
MSM_group_to_WSM_group_triplet_proportion,0.0018127416078799,0.016227313429576,0.05,45
WSM_group_to_MSM_group_proportion,0.0019437831698953,0.0218184200755673,0.05,45
WSM_group_to_MSM_group_triplet_proportion,0.0016817000458645,0.0025116299386288,0.05,45
average_time_in_MSM_network,548.8974530831099,143.47267073184227,0.05,45
average_time_in_WSM_network,211.1969517358171,37.859319133872205,0.05,45
average_time_in_network_overall,437.1256095510341,92.35961075005996,0.05,45
total_between_network_proportion,0.0053508637822962,0.0429597920807216,0.05,45
total_triplet_proportion,0.0034944416537445,0.0187389433682049,0.05,45
MSM_group_to_WSM_group_proportion,0.0060366049448785,0.0277212886653109,0.05,46
MSM_group_to_WSM_group_triplet_proportion,0.0041100288986406,0.0201220164829283,0.05,46
WSM_group_to_MSM_group_proportion,0.0031681472760355,0.0315102215562453,0.05,46
WSM_group_to_MSM_group_triplet_proportion,0.0022904848549716,0.0053516001284384,0.05,46
average_time_in_MSM_network,364.9482323722302,76.64358350544335,0.05,46
average_time_in_WSM_network,116.46012222077754,36.83464233038348,0.05,46
average_time_in_network_overall,258.7665262853778,57.25632104440893,0.05,46
total_between_network_proportion,0.009204752220914,0.0592315102215562,0.05,46
total_triplet_proportion,0.0064005137536123,0.0254736166113668,0.05,46
MSM_group_to_WSM_group_proportion,0.006645431838493,0.0274983386420403,0.05,50
MSM_group_to_WSM_group_triplet_proportion,0.0044455647471298,0.0190425995096129,0.05,50
WSM_group_to_MSM_group_proportion,0.0041018355141043,0.0407892023190265,0.05,50
WSM_group_to_MSM_group_triplet_proportion,0.0019936295515479,0.0098306560645294,0.05,50
average_time_in_MSM_network,603.043851018974,60.21263904328051,0.05,50
average_time_in_WSM_network,618.9007124798896,74.2048682255691,0.05,50
average_time_in_network_overall,613.3066243554146,67.31847600657942,0.05,50
total_between_network_proportion,0.0107472673525974,0.0682875409610669,0.05,50
total_triplet_proportion,0.0064391942986777,0.0288732555741423,0.05,50
MSM_group_to_WSM_group_proportion,0.0041869623795211,0.0280029018551145,0.05,51
MSM_group_to_WSM_group_triplet_proportion,0.0029640377241164,0.0199813452171209,0.05,51
WSM_group_to_MSM_group_proportion,0.0015960203129858,0.0300549279718105,0.05,51
WSM_group_to_MSM_group_triplet_proportion,0.0009120116074204,0.0042698725256503,0.05,51
average_time_in_MSM_network,278.03503944230414,91.5577836201402,0.05,51
average_time_in_WSM_network,114.88164906988436,36.62441022993976,0.05,51
average_time_in_network_overall,200.203194704274,64.25963392102088,0.05,51
total_between_network_proportion,0.0057829826925069,0.058057829826925,0.05,51
total_triplet_proportion,0.0038760493315369,0.0242512177427712,0.05,51
MSM_group_to_WSM_group_proportion,0.0036846759590685,0.0235187602644544,0.05,57
MSM_group_to_WSM_group_triplet_proportion,0.0018318103339369,0.0199183054701646,0.05,57
WSM_group_to_MSM_group_proportion,0.0024003031961932,0.0224449404135259,0.05,57
WSM_group_to_MSM_group_triplet_proportion,0.0010527645597338,0.0036636206678738,0.05,57
average_time_in_MSM_network,276.247018904508,125.1742337164751,0.05,57
average_time_in_WSM_network,543.6017344896597,34.08002795536308,0.05,57
average_time_in_network_overall,357.4172967863894,81.30534864987145,0.05,57
total_between_network_proportion,0.0060849791552617,0.0459637006779803,0.05,57
total_triplet_proportion,0.0028845748936707,0.0235819261380384,0.05,57
MSM_group_to_WSM_group_proportion,0.0048723579467471,0.0284335254826608,0.05,59
MSM_group_to_WSM_group_triplet_proportion,0.0030652392716625,0.0191691829078598,0.05,59
WSM_group_to_MSM_group_proportion,0.0039573611492359,0.0319333882331411,0.05,59
WSM_group_to_MSM_group_triplet_proportion,0.0023561167535913,0.0120093329673346,0.05,59
average_time_in_MSM_network,633.5953079178886,122.63700348130688,0.05,59
average_time_in_WSM_network,499.2550265773053,60.99410515365611,0.05,59
average_time_in_network_overall,569.724261070212,91.85058286159608,0.05,59
total_between_network_proportion,0.0088297190959831,0.0603669137158019,0.05,59
total_triplet_proportion,0.0054213560252539,0.0311785158751944,0.05,59
MSM_group_to_WSM_group_proportion,0.0027291086731073,0.0214780852573549,0.05,61
MSM_group_to_WSM_group_triplet_proportion,0.0012280989028983,0.016320069865182,0.05,61
WSM_group_to_MSM_group_proportion,0.0013645543365536,0.021505376344086,0.05,61
WSM_group_to_MSM_group_triplet_proportion,0.0006822771682768,0.0013099721630915,0.05,61
average_time_in_MSM_network,1703.672997032641,150.21141378566807,0.05,61
average_time_in_WSM_network,2031.432915921288,54.00231576478865,0.05,61
average_time_in_network_overall,1834.4027827327864,102.57362130151748,0.05,61
total_between_network_proportion,0.004093663009661,0.0429834616014409,0.05,61
total_triplet_proportion,0.0019103760711751,0.0176300420282735,0.05,61
MSM_group_to_WSM_group_proportion,0.0027907678382863,0.0192839543420324,0.05,66
MSM_group_to_WSM_group_triplet_proportion,0.0015839493136219,0.0157892090310252,0.05,66
WSM_group_to_MSM_group_proportion,0.0014079549454417,0.0195353748680042,0.05,66
WSM_group_to_MSM_group_triplet_proportion,0.001307386735053,0.0026901996278976,0.05,66
average_time_in_MSM_network,1199.9514348785872,149.71317239773344,0.05,66
average_time_in_WSM_network,557.6031746031746,37.633023427639074,0.05,66
average_time_in_network_overall,831.5991839296925,93.4344378231734,0.05,66
total_between_network_proportion,0.004198722783728,0.0388193292100367,0.05,66
total_triplet_proportion,0.002891336048675,0.0184794086589229,0.05,66
MSM_group_to_WSM_group_proportion,0.0034002942098536,0.0247425663780837,0.05,67
MSM_group_to_WSM_group_triplet_proportion,0.0027250584802372,0.0150963416692791,0.05,67
WSM_group_to_MSM_group_proportion,0.002290978368341,0.0330624351894277,0.05,67
WSM_group_to_MSM_group_triplet_proportion,0.0014469337063206,0.010586731617913,0.05,67
average_time_in_MSM_network,570.4416650381082,68.00102479103174,0.05,67
average_time_in_WSM_network,393.2583876418054,45.53322028953798,0.05,67
average_time_in_network_overall,491.1684125269978,56.89499797215088,0.05,67
total_between_network_proportion,0.0056912725781947,0.0578050015675115,0.05,67
total_triplet_proportion,0.0041719921865579,0.0256830732871922,0.05,67
MSM_group_to_WSM_group_proportion,0.0039078201062927,0.0232906078335045,0.05,76
MSM_group_to_WSM_group_triplet_proportion,0.0025456656692421,0.0173953820731543,0.05,76
WSM_group_to_MSM_group_proportion,0.0023893528649903,0.0261935599124648,0.05,76
WSM_group_to_MSM_group_triplet_proportion,0.0011835112321915,0.0062748425706757,0.05,76
average_time_in_MSM_network,606.8182329769274,86.85980926112059,0.05,76
average_time_in_WSM_network,879.1288699690402,83.7026606012033,0.05,76
average_time_in_network_overall,793.529011144525,85.25379699226534,0.05,76
total_between_network_proportion,0.0062971729712831,0.0494841677459693,0.05,76
total_triplet_proportion,0.0037291769014336,0.0236702246438301,0.05,76
MSM_group_to_WSM_group_proportion,0.0041450080659616,0.0298888689729342,0.05,80
MSM_group_to_WSM_group_triplet_proportion,0.0030471410647069,0.020030471410647,0.05,80
WSM_group_to_MSM_group_proportion,0.0023077612475354,0.0344147696719842,0.05,80
WSM_group_to_MSM_group_triplet_proportion,0.001702814124395,0.006900878293601,0.05,80
average_time_in_MSM_network,284.5944836644229,46.57945790675407,0.05,80
average_time_in_WSM_network,682.0133236434109,70.50049910465958,0.05,80
average_time_in_network_overall,445.13318328603583,58.336832643583456,0.05,80
total_between_network_proportion,0.006452769313497,0.0643036386449184,0.05,80
total_triplet_proportion,0.0047499551891019,0.026931349704248,0.05,80
MSM_group_to_WSM_group_proportion,0.0042365976861658,0.0213459344956819,0.05,83
MSM_group_to_WSM_group_triplet_proportion,0.0030261412044041,0.0139435275495239,0.05,83
WSM_group_to_MSM_group_proportion,0.0024674689820526,0.0238832375055285,0.05,83
WSM_group_to_MSM_group_triplet_proportion,0.0013035685188202,0.006075560418073,0.05,83
average_time_in_MSM_network,815.9013359722909,142.7870945945946,0.05,83
average_time_in_WSM_network,161.53575054387238,28.69693340847187,0.05,83
average_time_in_network_overall,550.4983529411764,86.93028923529683,0.05,83
total_between_network_proportion,0.0067040666682185,0.0452291720012104,0.05,83
total_triplet_proportion,0.0043297097232244,0.020019087967597,0.05,83
MSM_group_to_WSM_group_proportion,0.0035393218659304,0.0240437932092211,0.05,86
MSM_group_to_WSM_group_triplet_proportion,0.0029258394091692,0.016257285104174,0.05,86
WSM_group_to_MSM_group_proportion,0.0014393242254783,0.0324909747292418,0.05,86
