measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,41636,41636,0.05,1
MSM_group_to_WSM_group_triplet_proportion,41636,41636,0.05,1
WSM_group_to_MSM_group_proportion,41636,41636,0.05,1
WSM_group_to_MSM_group_triplet_proportion,41636,41636,0.05,1
average_time_in_MSM_network,5950,71716,0.05,1
average_time_in_WSM_network,5613,70368,0.05,1
average_time_in_network_overall,11563,142084,0.05,1
total_between_network_proportion,41636,41636,0.05,1
total_triplet_proportion,41636,41636,0.05,1
MSM_group_to_WSM_group_proportion,44229,44229,0.05,2
MSM_group_to_WSM_group_triplet_proportion,44229,44229,0.05,2
WSM_group_to_MSM_group_proportion,44229,44229,0.05,2
WSM_group_to_MSM_group_triplet_proportion,44229,44229,0.05,2
average_time_in_MSM_network,11405,106421,0.05,2
average_time_in_WSM_network,5577,100917,0.05,2
average_time_in_network_overall,16982,207338,0.05,2
total_between_network_proportion,44229,44229,0.05,2
total_triplet_proportion,44229,44229,0.05,2
MSM_group_to_WSM_group_proportion,41807,41807,0.05,4
MSM_group_to_WSM_group_triplet_proportion,41807,41807,0.05,4
WSM_group_to_MSM_group_proportion,41807,41807,0.05,4
WSM_group_to_MSM_group_triplet_proportion,41807,41807,0.05,4
average_time_in_MSM_network,3652,55683,0.05,4
average_time_in_WSM_network,3668,55082,0.05,4
average_time_in_network_overall,7320,110765,0.05,4
total_between_network_proportion,41807,41807,0.05,4
total_triplet_proportion,41807,41807,0.05,4
MSM_group_to_WSM_group_proportion,42844,42844,0.05,5
MSM_group_to_WSM_group_triplet_proportion,42844,42844,0.05,5
WSM_group_to_MSM_group_proportion,42844,42844,0.05,5
WSM_group_to_MSM_group_triplet_proportion,42844,42844,0.05,5
average_time_in_MSM_network,2120,31960,0.05,5
average_time_in_WSM_network,4832,33717,0.05,5
average_time_in_network_overall,6952,65677,0.05,5
total_between_network_proportion,42844,42844,0.05,5
total_triplet_proportion,42844,42844,0.05,5
MSM_group_to_WSM_group_proportion,43405,43405,0.05,6
MSM_group_to_WSM_group_triplet_proportion,43405,43405,0.05,6
WSM_group_to_MSM_group_proportion,43405,43405,0.05,6
WSM_group_to_MSM_group_triplet_proportion,43405,43405,0.05,6
average_time_in_MSM_network,16641,68337,0.05,6
average_time_in_WSM_network,9160,60415,0.05,6
average_time_in_network_overall,25801,128752,0.05,6
total_between_network_proportion,43405,43405,0.05,6
total_triplet_proportion,43405,43405,0.05,6
MSM_group_to_WSM_group_proportion,45063,45063,0.05,12
