sim_id,p_msmw_w,measure,method,value
0.05_014,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0022155439050606
0.05_014,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0010309956785925
0.05_014,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0013161646960756
0.05_014,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0007458266611095
0.05_014,0.05,average_time_in_MSM_network,MSM+MSMW,632.9664804469273
0.05_014,0.05,average_time_in_WSM_network,MSM+MSMW,88.13845461702846
0.05_014,0.05,average_time_in_network_overall,MSM+MSMW,371.9293528048715
0.05_014,0.05,total_between_network_proportion,MSM+MSMW,0.0035317086011362
0.05_014,0.05,total_triplet_proportion,MSM+MSMW,0.0017768223397021
0.05_014,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0175269265360738
0.05_014,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0122403316735034
0.05_014,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0179217759448965
0.05_014,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0034659003663325
0.05_014,0.05,average_time_in_MSM_network,MSMW+MSW,192.2524710147406
0.05_014,0.05,average_time_in_WSM_network,MSMW+MSW,39.03105644707208
0.05_014,0.05,average_time_in_network_overall,MSMW+MSW,116.73534819183072
0.05_014,0.05,total_between_network_proportion,MSMW+MSW,0.0354487024809704
0.05_014,0.05,total_triplet_proportion,MSMW+MSW,0.0157062320398359
0.05_016,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0037279297411032
0.05_016,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0023556856646235
0.05_016,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0024242978684475
0.05_016,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0015780806879516
0.05_016,0.05,average_time_in_MSM_network,MSM+MSMW,1004.397208600528
0.05_016,0.05,average_time_in_WSM_network,MSM+MSMW,342.10347752332484
0.05_016,0.05,average_time_in_network_overall,MSM+MSMW,692.6206827710122
0.05_016,0.05,total_between_network_proportion,MSM+MSMW,0.0061522276095508
0.05_016,0.05,total_triplet_proportion,MSM+MSMW,0.0039337663525752
0.05_016,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0215213612661238
0.05_016,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0142942091299972
0.05_016,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0239914006037873
0.05_016,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0060607446711188
0.05_016,0.05,average_time_in_MSM_network,MSMW+MSW,124.25949264606666
0.05_016,0.05,average_time_in_WSM_network,MSMW+MSW,27.93892109390984
0.05_016,0.05,average_time_in_network_overall,MSMW+MSW,76.35891470239105
0.05_016,0.05,total_between_network_proportion,MSMW+MSW,0.0455127618699112
0.05_016,0.05,total_triplet_proportion,MSMW+MSW,0.020354953801116
0.05_027,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0026881108048385
0.05_027,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0019819122035674
0.05_027,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0018907898034034
0.05_027,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0009112240016402
0.05_027,0.05,average_time_in_MSM_network,MSM+MSMW,779.0682684341342
0.05_027,0.05,average_time_in_WSM_network,MSM+MSMW,171.415770609319
0.05_027,0.05,average_time_in_network_overall,MSM+MSMW,550.9627406334092
0.05_027,0.05,total_between_network_proportion,MSM+MSMW,0.004578900608242
0.05_027,0.05,total_triplet_proportion,MSM+MSMW,0.0028931362052076
0.05_027,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0215276670387498
0.05_027,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0147618288265712
0.05_027,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0257648586463767
0.05_027,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0033259676059867
0.05_027,0.05,average_time_in_MSM_network,MSMW+MSW,178.2674176098716
0.05_027,0.05,average_time_in_WSM_network,MSMW+MSW,21.716837977679297
0.05_027,0.05,average_time_in_network_overall,MSMW+MSW,102.56705374172556
0.05_027,0.05,total_between_network_proportion,MSMW+MSW,0.0472925256851265
0.05_027,0.05,total_triplet_proportion,MSMW+MSW,0.018087796432558
0.05_034,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0031719976930925
0.05_034,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.001597089747571
0.05_034,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0019741803824142
0.05_034,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.001597089747571
0.05_034,0.05,average_time_in_MSM_network,MSM+MSMW,1101.5404545454546
0.05_034,0.05,average_time_in_WSM_network,MSM+MSMW,804.6201867933803
0.05_034,0.05,average_time_in_network_overall,MSM+MSMW,883.2935083704685
