p_msmw_w,replicate,batch,measure,value
0.05,1,3,MSM.MSMW,0.0068624950733776
0.05,1,4,MSM.MSMW,0.0057162071284465
0.05,2,2,MSM.MSMW,0.0076169749727965
0.05,2,4,MSM.MSMW,0.0052454272083926
0.05,3,2,MSM.MSMW,0.0029141134907486
0.05,4,4,MSM.MSMW,0.0031573659913411
0.05,5,4,MSM.MSMW,0.0061618896461581
0.05,6,3,MSM.MSMW,0.0044577711144427
0.05,6,4,MSM.MSMW,0.0060822485888722
0.05,8,2,MSM.MSMW,0.0071006159323906
0.05,10,2,MSM.MSMW,0.0039907254648414
0.05,12,4,MSM.MSMW,0.0056809355790781
0.05,13,1,MSM.MSMW,0.0035317086011362
0.05,13,4,MSM.MSMW,0.0056415796422998
0.05,14,3,MSM.MSMW,0.0087184299006959
0.05,15,1,MSM.MSMW,0.0061522276095508
0.05,16,3,MSM.MSMW,0.00440695995745
0.05,17,1,MSM.MSMW,0.0068559312050889
0.05,17,2,MSM.MSMW,0.0066781189607043
0.05,17,4,MSM.MSMW,0.0113169973528911
0.05,18,2,MSM.MSMW,0.0022402364950691
0.05,18,3,MSM.MSMW,0.0078444039406593
0.05,19,2,MSM.MSMW,0.0056325622363358
0.05,19,4,MSM.MSMW,0.0039060627845674
0.05,20,3,MSM.MSMW,0.0065581341646461
0.05,20,4,MSM.MSMW,0.004794478083862
0.05,21,1,MSM.MSMW,0.0048879071297645
0.05,21,2,MSM.MSMW,0.0048058801356954
0.05,22,2,MSM.MSMW,0.0058873194441275
0.05,24,1,MSM.MSMW,0.005447828174247
0.05,24,2,MSM.MSMW,0.0039597393984317
0.05,24,3,MSM.MSMW,0.0041898056326854
0.05,26,1,MSM.MSMW,0.004578900608242
0.05,26,3,MSM.MSMW,0.0048272128485067
0.05,28,4,MSM.MSMW,0.0090314458523769
0.05,29,1,MSM.MSMW,0.0043946481018165
0.05,31,1,MSM.MSMW,0.0053031090776749
0.05,31,4,MSM.MSMW,0.0042850855858985
0.05,32,2,MSM.MSMW,0.0038146099561319
0.05,32,3,MSM.MSMW,0.0036455031247169
0.05,32,4,MSM.MSMW,0.0030180849307962
0.05,33,1,MSM.MSMW,0.0051461780755068
0.05,34,3,MSM.MSMW,0.0027281569520556
0.05,35,2,MSM.MSMW,0.0069040295634086
0.05,36,4,MSM.MSMW,0.0049043966727881
0.05,38,2,MSM.MSMW,0.0068846020561395
0.05,39,3,MSM.MSMW,0.0081294981230423
0.05,42,3,MSM.MSMW,0.0026165020074886
0.05,43,2,MSM.MSMW,0.0050382043935052
0.05,44,3,MSM.MSMW,0.0030560920223264
0.05,45,3,MSM.MSMW,0.0053508637822962
